Type,ID,Title,S1,S2,S3,S4,S5,S6,S7,S8,Sentence
P0281,1,十大低糖水果排行榜,,,,,,,,,又想吃水果，又担心发胖，还要关心自己的血糖高低，那有哪些水果是低糖的 呢
P0888,2,肚子越大，脑子越小？肚子大可能“藏”着这些风险,,,,,,,,,尤其是腹型肥胖与高血压关系密切
P1010,3,身材决定寿命？研究发现：活过80岁的老人，身材大多有两个特征,,,,,,,,,为什么微胖更长寿呢
P0921,4,“胖死”成真！欧洲人拿什么拯救失控的体重…连“小瘦子”法国人都“膨胀”了？,,,,,,,,,在多数人的印象中，欧洲人比较“肥美”，“丰乳肥臀”的性感女神们更是让人过目不忘、垂涎不已
P0601,5,“梨形身材是基因彩票”上热搜，网友：谢谢，有被安慰到,,,,,,,,,Individuals with this H-shaped body type usually have low body fat and a lower risk of metabolic diseases. 沙漏形（X形）身材 特点：腰部细，胸部丰满，臀部曲线优美，肩部与臀部宽度相近
P1015,6,这4 种食物，“自带”黄体酮，女人 45 岁后要多吃，利于皮肤有弹性,,,,,,,,,3、黑米 现在很多人都不喜欢吃米饭，一方面 是担心热量高长胖，另一方面也是担心血 糖升高，但是女性不能不吃碳水，所以把 白米饭切换成黑米就是很好的选择
P0338,7,吴秀波退圈5年后称被骗破产 身材发福气质不再,,,,,,,,,身材发福，大腹便便，穿着依然时髦得体
P1059,8,“重”视体重，“轻”松生活：肥胖问题我们说清楚,,,,,,,,,正确的做法是：从小建立健康饮食习惯和规律运动，而不是放任“长胖”
P0885,9,职场有毒！24岁华人妹子上班1年增重40斤！辞职后的变化震惊全球网友…,,,,,,,,,城市化与人口流动正是导致中国上班族发胖的两大因素
P0568,10,"最严重的青少年肥胖爆发:中国胖娃3000万,速度罕见",,,,,,,,,在刘云曼的印象中，内分泌科、儿保科就有肥胖孩子，不过前来就诊的，主要都是学龄 儿童
P1043,11,那些一胖就胖肚子的人，后来都怎么样了？,,,,,,,,,过多的内脏脂肪会让腹部赘肉堆积，但这只是表层危害，它还会让代谢迟缓、内脏机能异常，肝功能衰退以及引发心脏病、高血压等心脑血管疾病
P1047,12,郑爽近照曝光:身材发福 穿名牌染黄发变精神小妹,,,,,,,,,从郑爽变胖来看，也 间接辟谣了“天生瘦”体质的说法，说明这些标签只不过为了明星人设服务，退圈就崩了
P0453,13,少女成長的轉折點,,,,,,,,,"少女成长的转折点 过胖或过瘦也都是导致少女月经异常,甚至引起月经不来的常见原因"
P0048,14,200斤女孩为美狂瘦至90斤 ！要么瘦，要么死,短期内的暴肥,,,,,,,,她也尝试过ALL IN（一种治疗ED的饮食方法，即想吃就吃，想吃什么吃什么），但身体完全承受不了过载的营养，短期内的暴肥和水肿更是折磨
